id,opt,code,nfeval,min,elapsed
Aa,LN_BOBYQA,FTOL_REACHED,44,332.1883486722732,0.001237982
Aa,LN_COBYLA,FTOL_REACHED,93,332.188348680871,0.002442015
Aa,LN_NELDERMEAD,FTOL_REACHED,74,332.18834867235097,0.001896165
Aa,LN_PRAXIS,FTOL_REACHED,79,332.18834866832265,0.001987674
Aa,LN_SBPLX,FTOL_REACHED,111,332.18834866912107,0.002717121
Ab,LN_BOBYQA,FTOL_REACHED,18,327.3270598811364,0.0004162
Ab,LN_COBYLA,FTOL_REACHED,5,327.4984102805616,0.000166279
Ab,LN_NELDERMEAD,FTOL_REACHED,28,327.3270598989106,0.000411766
Ab,LN_PRAXIS,MAXEVAL_REACHED,100000,327.32705988112014,1.27359314
Ab,LN_SBPLX,FTOL_REACHED,43,327.3270598989106,0.000634516
Ac,LN_BOBYQA,FTOL_REACHED,17,-78.03665138507102,0.00039596
Ac,LN_COBYLA,FTOL_REACHED,24,-78.03665138502741,0.000456749
Ac,LN_NELDERMEAD,XTOL_REACHED,4,-78.03503110778387,0.000100744
Ac,LN_PRAXIS,MAXEVAL_REACHED,100000,-78.03665138507112,1.415017885
Ac,LN_SBPLX,FTOL_REACHED,33,-78.03665138223944,0.000558759
Ad,LN_BOBYQA,FTOL_REACHED,96,2370.0527750002193,0.02234615
Ad,LN_COBYLA,FTOL_REACHED,1027,2370.0527750002952,0.228934537
Ad,LN_NELDERMEAD,FTOL_REACHED,177,2370.052775003152,0.039369872
Ad,LN_PRAXIS,FTOL_REACHED,174,2370.0527750002884,0.040009856
Ad,LN_SBPLX,FTOL_REACHED,672,2370.0527750002734,0.15103474
Ae,LN_BOBYQA,FTOL_REACHED,43,14773.221491160502,0.004081568
Ae,LN_COBYLA,FTOL_REACHED,79,14773.221491160679,0.003164453
Ae,LN_NELDERMEAD,FTOL_REACHED,68,14773.26163626279,0.002685212
Ae,LN_PRAXIS,FTOL_REACHED,91,14773.221491160437,0.003546776
Ae,LN_SBPLX,FTOL_REACHED,115,14773.221491167742,0.010618533
Af,LN_BOBYQA,FTOL_REACHED,44,143803.9822915318,0.009210994
Af,LN_COBYLA,FTOL_REACHED,69,143803.98229153515,0.015636647
Af,LN_NELDERMEAD,FTOL_REACHED,56,143803.98229155052,0.013077279
Af,LN_PRAXIS,FTOL_REACHED,116,143803.98229153207,0.035739477
Af,LN_SBPLX,FTOL_REACHED,82,143803.9822915418,0.021153889
Ag,LN_BOBYQA,FTOL_REACHED,57,1751.9393444646757,0.003388807
Ag,LN_COBYLA,FTOL_REACHED,338,1751.939344465461,0.018544007
Ag,LN_NELDERMEAD,FTOL_REACHED,140,1751.9393444749974,0.007663413
Ag,LN_PRAXIS,FTOL_REACHED,116,1751.9393444631971,0.006245805
Ag,LN_SBPLX,FTOL_REACHED,202,1751.9393444755763,0.010907698
Ah,LN_BOBYQA,FTOL_REACHED,30,1752.0032551416002,0.001903044
Ah,LN_COBYLA,FTOL_REACHED,171,1752.0032551399668,0.009227182
Ah,LN_NELDERMEAD,FTOL_REACHED,75,1752.0032551423249,0.004087868
Ah,LN_PRAXIS,FTOL_REACHED,99,1752.003255139871,0.005347777
Ah,LN_SBPLX,FTOL_REACHED,126,1752.0032551410245,0.006952587
Ai,LN_BOBYQA,FTOL_REACHED,158,725.9676891008414,0.011058411
Ai,LN_COBYLA,FTOL_REACHED,518,725.9676892615887,0.035604235
Ai,LN_NELDERMEAD,FTOL_REACHED,135,725.9676890935884,0.009249951
Ai,LN_PRAXIS,FTOL_REACHED,174,725.9676890912747,0.012070205
